sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
DOME-SD-SPARTINA16S-RUN1,b9ba2c8e-e74b-4687-87fc-7b468e23dc19,Nanoplate 8.5K 96-well,A1,1,1,SAMPLE,16S-515F+806R,16S,-,-,292.23045702721754,-,0.0752994454811998,1753382.7421633052,-,7750,678,7072,145.71,2.666,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.09154951802991328,0.31327849588719153,2.4279083431257344,165.2850147492625,40.21080033936665,"1,19",4.510426919451538,45.9,10.15
,,,B1,13,36,SAMPLE,16S-515F+806R,16S,-,-,3447.4482140212754,-,0.02789976251143829,2.0684689284127653E7,-,8242,5434,2808,145.71,2.658,1000.0,2.0,12.0,-,-,Std-Ref,-,-,1.076770546753061,0.31233842538190365,2.57429330199765,173.17994295178454,54.27761396011368,"2,10",3.1527628893360498,54.58,23.95
,,,C1,25,70,SAMPLE,16S-515F+806R,16S,-,-,1190.250131376989,-,0.03914545180197398,7141500.788261934,-,8196,2536,5660,145.71,2.647,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.3702223381615617,0.3110458284371328,2.54933160987074,177.08333596214473,48.89460600706703,"2,01",3.6859062370827234,50.84,19.86
,,,D1,4,10,SAMPLE,16S-515F+806R,16S,-,-,2551.3887249185345,-,0.029882652534194382,1.5308332349511208E7,-,8298,4532,3766,145.71,2.635,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.7900010916757154,0.3096357226792009,2.5693572267920093,176.09984995586964,54.69066383430688,"2,41",3.3370810427763082,51.88,23.01
,,,E1,16,44,SAMPLE,16S-515F+806R,16S,-,-,1712.5599358982615,-,0.034062907722627454,1.027535961538957E7,-,8268,3389,4879,145.71,2.621,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.5274523609858218,0.3079905992949471,2.546466274970623,179.15306875184396,51.48103914736625,"1,60",3.6594169141398836,51.0,19.64
,,,F1,28,79,SAMPLE,16S-515F+806R,16S,-,-,593.3406281717764,-,0.05234769322203333,3560043.7690306585,-,8269,1406,6863,145.71,2.673,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.1863689188135321,0.31410105757931844,2.5973016451233844,173.8244736842104,47.70604400407984,"0,64",3.076559901319216,60.67,20.63
,,,G1,12,33,SAMPLE,16S-515F+806R,16S,-,-,2.725424232743213,-,0.7407968734632671,16352.54539645928,-,8289,7,8282,145.71,2.638,1000.0,2.0,12.0,-,-,Std-Ref,-,-,8.44849486013701E-4,0.3099882491186839,2.569492596944771,169.75428571428574,46.59744868389283,"0,10",0.0,0.0,20.16
,,,H1,29,82,SAMPLE,16S-515F+806R,16S,-,-,193.321249686037,-,0.08846662680543019,1159927.498116222,-,8265,491,7774,145.71,2.696,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.06124489884295602,0.3168037602820211,2.6183830787309046,170.9524236252547,45.928056341651505,"0,42",3.539574570036349,49.72,20.87
,,,A2,2,4,SAMPLE,16S-515F+806R,16S,-,-,521.0394455773734,-,0.057635462490240444,3126236.6734642405,-,7779,1159,6620,145.71,2.635,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.1613324252757202,0.3096357226792009,2.408656286721504,172.5006643658328,45.31554531722064,"0,23",1.7859319833776448,90.52,44.17
,,,B2,14,39,SAMPLE,16S-515F+806R,16S,-,-,1768.2170398109165,-,0.03354026613374736,1.0609302238865498E7,-,8264,3503,4761,145.71,2.654,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.5514510016049556,0.3118683901292597,2.5772803760282024,177.61592063945184,50.97782818735562,"1,71",3.5900761234273277,51.93,19.66
,,,C2,26,73,SAMPLE,16S-515F+806R,16S,-,-,616.5371008313764,-,0.052684159737478094,3699222.6049882583,-,8255,1388,6867,145.71,2.541,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.18409174773355197,0.2985898942420681,2.4648595769682724,169.36076368876084,44.24634338138918,"0,86",2.775595577334943,68.63,26.72
,,,D2,5,13,SAMPLE,16S-515F+806R,16S,-,-,3226.2111194840277,-,0.02918529889073519,1.9357266716904167E7,-,7848,4879,2969,145.71,2.564,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.9720335264814393,0.3012925969447709,2.364544300822562,175.29679237548666,55.94481306837318,"2,88",3.1189423262259584,58.65,21.11
,,,E2,17,47,SAMPLE,16S-515F+806R,16S,-,-,3032.307115882283,-,0.028722896639666602,1.8193842695293702E7,-,8271,5003,3268,145.71,2.606,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.928577243712013,0.3062279670975323,2.5328115158636897,172.52484909054604,51.75793145654835,"1,68",2.469253771644456,71.95,29.71
,,,F2,29,82,SAMPLE,16S-515F+806R,16S,-,-,239.1536560439773,-,0.08182590478983064,1434921.936263864,-,8269,574,7695,145.71,2.56,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.07194281544918706,0.3008225616921269,2.4875017626321974,171.8396341463414,47.649161793372265,"0,50",3.7843672389606784,49.72,17.79
,,,G2,13,36,SAMPLE,16S-515F+806R,16S,-,-,1748.682925922297,-,0.03388129555653601,1.0492097555533784E7,-,8263,3428,4835,145.71,2.608,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.5359065888137897,0.3064629847238543,2.532303642773208,169.02214410735107,48.333187176835665,"1,77",2.455023303220026,70.13,30.93
,,,H2,31,85,SAMPLE,16S-515F+806R,16S,-,-,3.9479588770749676,-,0.61979518725995,23687.753262449805,-,8248,10,8238,145.71,2.615,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.0012131507007698051,0.3072855464159812,2.534491186839013,169.202,44.79652706967708,"0,04",4.665879271665348,29.5,22.16
,,,A3,3,7,SAMPLE,16S-515F+806R,16S,-,-,2030.4346631696249,-,0.03218559368177007,1.218260797901775E7,-,8215,3833,4382,145.71,2.634,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.6284565103159567,0.30951821386603995,2.542692126909518,175.64554135142166,50.01556366955748,"1,39",2.7116707639213464,66.3,28.05
,,,B3,15,41,SAMPLE,16S-515F+806R,16S,-,-,2735.9439097417035,-,0.029476181998260607,1.641566345845022E7,-,8263,4688,3575,145.71,2.606,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.8378225415730763,0.3062279670975323,2.5303616921269096,176.7797824232079,52.6889734265733,"2,18",3.4166611716484256,53.95,20.48
,,,C3,27,76,SAMPLE,16S-515F+806R,16S,-,-,793.8140699213424,-,0.046597708893967006,4762884.419528054,-,8256,1778,6478,145.71,2.6,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.24252838799006934,0.30552291421856637,2.522397179788484,168.5301968503938,46.18570237727696,"1,32",2.9414551899952817,58.65,26.94
,,,D3,6,16,SAMPLE,16S-515F+806R,16S,-,-,1667.713254904703,-,0.035470141691215096,1.000627952942822E7,-,8020,3116,4904,145.71,2.51,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.4918872232445129,0.29494712103407755,2.365475910693302,172.6031707317072,50.36437194127244,"1,60",3.2563824490553044,52.55,23.95
,,,E3,18,50,SAMPLE,16S-515F+806R,16S,-,-,1106.3613764027273,-,0.04093153272248409,6638168.258416364,-,8239,2314,5925,145.71,2.536,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.3296982903122581,0.2980023501762632,2.4552413631022327,171.51213915298186,46.3260135021098,"1,07",3.138557161712795,57.37,23.51
,,,F3,31,85,SAMPLE,16S-515F+806R,16S,-,-,1.2290077737402452,-,1.0642422069498985,7374.046642441472,-,8304,3,8301,145.71,2.502,1000.0,2.0,12.0,-,-,Std-Ref,-,-,3.613369506343235E-4,0.2940070505287896,2.441434547591069,175.72333333333333,46.48044813877861,"0,45",2.0350539955919222,22.65,16.9
,,,G3,16,44,SAMPLE,16S-515F+806R,16S,-,-,2120.6150212429216,-,0.03193882900396784,1.2723690127457531E7,-,8289,3895,4394,145.71,2.547,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.6346893606469708,0.2992949471210341,2.4808558166862515,172.57144801026965,49.38324988620849,"1,56",3.1130555430837785,54.24,26.69
,,,H3,35,88,SAMPLE,16S-515F+806R,16S,-,-,614.8992161254243,-,0.05199983969424339,3689395.296752546,-,8268,1425,6843,145.71,2.618,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.1891664098491611,0.3076380728554642,2.5435515863689777,169.0099157894738,46.05447318427597,"1,03",3.753042181277472,48.09,18.39
,,,A4,4,10,SAMPLE,16S-515F+806R,16S,-,-,2292.008442329787,-,0.031741156977830774,1.3752050653978724E7,-,7783,3980,3803,145.71,2.659,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.7161516390311286,0.3124559341950646,2.431844535840188,174.38378140703574,50.04966868261917,"2,07",3.113994355572607,54.3,27.61
,,,B4,16,44,SAMPLE,16S-515F+806R,16S,-,-,2017.0581676087888,-,0.032481509967562924,1.2102349005652733E7,-,8257,3755,4502,145.71,2.559,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.6065395829507509,0.30070505287896593,2.4829216216216214,173.34990945406145,50.543956019546926,"1,76",3.484971756033047,51.41,20.37
,,,C4,28,79,SAMPLE,16S-515F+806R,16S,-,-,656.4344329450396,-,0.05164217888411743,3938606.5976702375,-,8221,1445,6776,145.71,2.506,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.19330489882024313,0.29447708578143356,2.4208961222091654,174.05674740484432,46.05432113341218,"0,92",3.3821954046709743,52.27,26.68
,,,D4,7,19,SAMPLE,16S-515F+806R,16S,-,-,609.0512952176286,-,0.05329778168176541,3654307.771305772,-,8286,1356,6930,145.71,2.497,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.1787075304533982,0.2934195064629847,2.4312740305522915,169.83327433628298,47.23465367965369,"0,78",3.4059877182227036,54.43,18.1
,,,E4,19,53,SAMPLE,16S-515F+806R,16S,-,-,2198.4704109092795,-,0.03173985057889083,1.3190822465455677E7,-,8255,3951,4304,145.71,2.521,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.6512742545126079,0.2962397179788484,2.4454588719153936,174.3474689951913,50.13624767657986,"1,91",3.042929683218359,56.63,26.87
,,,F4,35,88,SAMPLE,16S-515F+806R,16S,-,-,1236.516473266424,-,0.04160129099911785,7419098.839598545,-,7429,2244,5185,145.71,2.475,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.3596214184881786,0.290834312573443,2.160608108108108,171.25435828877022,47.95402507232399,"1,47",3.10896070277257,60.94,19.61
,,,G4,20,56,SAMPLE,16S-515F+806R,16S,-,-,1641.062917828883,-,0.03508381385983834,9846377.506973298,-,8197,3185,5012,145.71,2.551,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.4919331966370718,0.29976498237367805,2.457173560517039,170.58119623233927,48.6307641660015,"2,03",3.0358256295371264,57.0,25.37
,,,H4,32,91,SAMPLE,16S-515F+806R,16S,-,-,1084.1396271384622,-,0.04067511638758733,6504837.762830773,-,8228,2344,5884,145.71,2.632,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.33530616905151966,0.309283196239718,2.5447821386603997,171.56165529010258,47.435890550645965,"1,43",3.261211847394815,57.25,20.02
,,,A5,5,13,SAMPLE,16S-515F+806R,16S,-,-,3536.604518974109,-,0.028361394251947617,2.1219627113844655E7,-,7909,5283,2626,145.71,2.653,1000.0,2.0,12.0,-,-,Std-Ref,-,-,1.1025395756566758,0.31175088131609874,2.465637720329025,175.3726083664588,53.55410891089097,"2,20",2.6867786957380773,61.98,32.84
,,,B5,17,47,SAMPLE,16S-515F+806R,16S,-,-,3270.4546885648465,-,0.02837528230959548,1.962272813138908E7,-,8273,5168,3105,145.71,2.55,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.9799834848226038,0.299647473560517,2.4789835487661573,176.45815015479874,52.92227375201282,"2,37",3.041977944491801,62.48,21.67
,,,C5,29,82,SAMPLE,16S-515F+806R,16S,-,-,211.1002078214644,-,0.08810870443350767,1266601.2469287866,-,8264,495,7769,145.71,2.49,1000.0,2.0,12.0,-,-,Std-Ref,-,-,0.061767275849053636,0.29259694477085785,2.418021151586369,170.00757575757584,45.241370832796974,"0,41",3.205449171232468,57.36,23.21
